COD_PERFIL	DEPARTAMENTO	MUNICIPIO	CLIMA_AMBIENTAL	DISTRIBUCION_LLUVIAS	PORC_PENDIENTE	GRADO_EROSION	DRENAJE_NATURAL	FRECUENCIA_INUNDACION	H1_VOLUMEN_POR_CFR_1	PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA	PROFUNDIDAD_EFECTIVA	H1_CLASE_ESTRUCTURA_1	FERTILIDAD	CE_(dS_m)	"PORC_SAT_SODIO
SALINIDAD_PSI "	PORC_SAI	PORC_CARBONO ORGANICO
43	Cesar	Valledupar	15	Bimodal	3 - 7	N/A	Bien drenado	N/A	0	N/A	>150	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
47S158	Magdalena	Ariguan’	3	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	N/A	<0.1	50 - 75	Fina y media	Baja	0	0	0	2,22
47S161	Magdalena	Nueva Granada	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente bien drenado	Frecuente	N/A	<0.1	75 - 100	Fina y media	Alta	0	0	4,13	23,05
47S169	Magdalena	Nueva Granada	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	N/A	N/A	<0.1	<25	Fina y media	Media	0	0	0	3,82
47S171	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Frecuente	N/A	<0.1	<25	Fina y media	Alta	0	0	0	32,19
47S179	Magdalena	Zapay‡n	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	<0.1	<25	Media y gruesa	Media	0	0	0	39,77
47S182	Magdalena	Zapay‡n	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	N/A	N/A	<0.1	<25	Media	Media	0	0	0	12,79
47S189	Magdalena	Tenerife	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	N/A	<0.1	25 - 50	Media	Media	0	0	0	3,62
47S190	Magdalena	Tenerife	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	<0.1	50 - 75	N/A	Muy baja	0	0	0	<2,55
47S195	Magdalena	Pedraza	3	Monomodal o Bimodal	25 - 50	Ligero	Moderadamente excesivo	N/A	10	3 - 15	25 - 50	Fina y media	Baja	0	0	0	3,79
47S197	Magdalena	Pedraza	3	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	3	<0.1	25 - 50	Fina y media	Baja	0	0	0	6,47
47S202	Magdalena	CiŽnaga	15	Bimodal	>75	N/A	Bien drenado	N/A	5	3 - 15	100 - 150	Fina	Muy baja	0	0	97,41	2,59
47S203	Magdalena	CiŽnaga	2	Monomodal	3 - 7	Ligero	Bien drenado	N/A	40	0.1 - 3	50 - 75	Muy fina y fina	Baja	0	0	0	0,08
47S204	Magdalena	Aracataca	10	Bimodal	25 - 50	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Fina y media	Baja	0	0	0	22,03
47S205	Magdalena	Aracataca	2	Monomodal	25 - 50	Ligero	Moderadamente excesivo	N/A	N/A	3 - 15	50 - 75	Fina	Baja	0	0	0	1,58
47S208	Magdalena	CiŽnaga	3	Monomodal o Bimodal	50 - 75	N/A	Bien drenado	N/A	20	0.1 - 3	50 - 75	Fina y media	#N/A	#N/A	#N/A	#N/A	#N/A
47S209	Magdalena	CiŽnaga	3	Monomodal o Bimodal	3 - 7	N/A	Moderadamente excesivo	N/A	N/A	N/A	100 - 150	Fina	Media	0	0	0	60,54
47S210	Magdalena	Aracataca	3	Monomodal o Bimodal	25 - 50	Ligero	Moderadamente excesivo	N/A	20	3 - 15	25 - 50	N/A	Baja	0	0	43,01	0,39
47S211	Magdalena	CiŽnaga	3	Monomodal o Bimodal	25 - 50	N/A	Bien drenado	N/A	40	3 - 15	50 - 75	Fina	Media	0	0	0	30,62
47S212	Magdalena	CiŽnaga	10	Bimodal	25 - 50	N/A	Bien drenado	N/A	N/A	3 - 15	100 - 150	Fina y media	Muy baja	0	0	99,34	0,48
47S214	Magdalena	Aracataca	3	Monomodal o Bimodal	12 - 25	Ligero	Bien drenado	N/A	35	3 - 15	25 - 50	N/A	Muy baja	0	0	0	0,66
47S215	Magdalena	Aracataca	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	N/A	<0.1	100 - 150	N/A	Baja	0	0	0	2,28
47S216	Magdalena	CiŽnaga	10	Bimodal	25 - 50	N/A	Bien drenado	N/A	N/A	<0.1	50 - 75	Media	Muy baja	0	0	0	11,93
47S217	Magdalena	CiŽnaga	3	Monomodal o Bimodal	0 - 1	N/A	Muy pobre	Muy frecuente	N/A	<0.1	<25	N/A	Baja	 	72,62	0	49,6
47S218	Magdalena	CiŽnaga	2	Monomodal	1 - 3	N/A	Bien drenado	N/A	N/A	<0.1	100 - 150	Media	Baja	0	0	0	19,97
47S219	Magdalena	CiŽnaga	3	Monomodal o Bimodal	12 - 25	Ligero	Bien drenado	N/A	N/A	0.1 - 3	25 - 50	Media	Baja	0,17	0	0	29,04
47S225	Magdalena	CiŽnaga	10	Bimodal	50 - 75	N/A	Bien drenado	N/A	N/A	3 - 15	100 - 150	Fina y media	Baja	0	0	0	2,53
47S226	Magdalena	Aracataca	3	Monomodal o Bimodal	3 - 7	N/A	Imperfecto	N/A	N/A	N/A	100 - 150	Media y gruesa	Media	0	0	0	39,39
47S227	Magdalena	CiŽnaga	3	Monomodal o Bimodal	12 - 25	Ligero	Bien drenado	N/A	5	N/A	75 - 100	Fina y media	Baja	0	0	0	1,35
47S228	Magdalena	CiŽnaga	9	Monomodal o Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	3 - 15	50 - 75	Fina y media	Baja	0	0	0	10,62
47S229	Magdalena	Aracataca	3	Monomodal o Bimodal	25 - 50	Ligero	Bien drenado	N/A	25	3 - 15	50 - 75	Fina y media	Baja	0	0	0	0,63
47S230	Magdalena	Aracataca	9	Monomodal o Bimodal	50 - 75	N/A	Bien drenado	N/A	N/A	0.1 - 3	75 - 100	Fina y media	Baja	0	0	0	2,95
47S231	Magdalena	CiŽnaga	2	Monomodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Media	5,34	0	0	151,57
47S232	Magdalena	CiŽnaga	2	Monomodal	1 - 3	N/A	Muy pobre	Ocasional	N/A	N/A	<25	Fina y media	Media	0,08	0	0	156,4
47S233	Magdalena	Aracataca	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	0.1 - 3	100 - 150	Fina y media	Baja	0	0	0	11,54
47S234	Magdalena	Aracataca	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente excesivo	N/A	N/A	N/A	50 - 75	N/A	Baja	0	0	35,44	0,48
47S235	Magdalena	Aracataca	3	Monomodal o Bimodal	7 - 12	N/A	Bien drenado	N/A	N/A	N/A	75 - 100	Fina	Alta	0	0	0	0,61
47S236	Magdalena	Aracataca	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Fina y media	Media	0	0	0	42,32
47S237	Magdalena	CiŽnaga	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	25 - 50	Media	Media	0	55,66	0	21
47S243	Magdalena	CiŽnaga	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente excesivo	Rara	N/A	N/A	100 - 150	N/A	Baja	0	0	0	62,04
47S244	Magdalena	CiŽnaga	2	Monomodal	1 - 3	N/A	Imperfecto	N/A	N/A	N/A	50 - 75	Gruesa	Alta	 	0	0	52,92
47S245	Magdalena	CiŽnaga	3	Monomodal o Bimodal	3 - 7	N/A	Pobre	N/A	N/A	N/A	25 - 50	N/A	Baja	0	0	0	7,11
47S252	Magdalena	Santa B‡rbara De Pinto	3	Monomodal o Bimodal	3 - 7	N/A	Muy pobre	N/A	0	N/A	<25	Fina y media	Muy alta	0	0	1,49	48,93
47S253	Magdalena	Aracataca	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	20	N/A	100 - 150	Fina y media	Baja	0	0	0	2,82
47S254	Magdalena	CiŽnaga	10	Bimodal	50 - 75	N/A	Bien drenado	N/A	N/A	<0.1	75 - 100	Media	Baja	0	0	0	15,35
47S255	Magdalena	CiŽnaga	2	Monomodal	0 - 1	N/A	Muy pobre	Muy frecuente	N/A	N/A	<25	N/A	Alta	0	0	0	159,35
47S256	Magdalena	Aracataca	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	N/A	N/A	N/A	25 - 50	Media	Baja	0	0	0	16,95
47S257	Magdalena	Aracataca	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Fina y media	Media	0	32,12	0	99,3
47S258	Magdalena	CiŽnaga	3	Monomodal o Bimodal	50 - 75	N/A	Bien drenado	N/A	20	0.1 - 3	<25	Fina y media	Muy baja	0	0	0	85,42
47S263	Magdalena	CiŽnaga	9	Monomodal o Bimodal	50 - 75	Moderado	Bien drenado	N/A	15	N/A	100 - 150	Fina y media	Muy baja	0	0	89,12	11,17
47S264	Magdalena	CiŽnaga	9	Monomodal o Bimodal	12 - 25	Ligero	Bien drenado	N/A	N/A	N/A	<25	Media y gruesa	Baja	0	0	80,82	0,04
47S265	Magdalena	CiŽnaga	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	25 - 50	Media y gruesa	Media	0	265,38	31,81	26,46
47S266	Magdalena	CiŽnaga	2	Monomodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	75 - 100	Media y gruesa	Media	0	0	0	40,84
47S267	Magdalena	CiŽnaga	3	Monomodal o Bimodal	25 - 50	Moderado	Moderadamente excesivo	N/A	30	N/A	25 - 50	N/A	Baja	0	0	0	0,97
47S291	Magdalena	Algarrobo	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	2	N/A	100 - 150	N/A	0	#N/A	#N/A	#N/A	#N/A
47S296	Magdalena	Santa Marta	4	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	0	N/A	100 - 150	Fina y media	0	#N/A	#N/A	#N/A	#N/A
47S297	Magdalena	Santa Marta	3	Monomodal o Bimodal	25 - 50	Moderado	Excesivo	N/A	0	N/A	25 - 50	Muy fina y fina	0	#N/A	#N/A	#N/A	#N/A
47S306	Magdalena	Zona Bananera	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	15	N/A	75 - 100	Fina y media	0	#N/A	#N/A	#N/A	#N/A
47S307	Magdalena	Zona Bananera	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	0	N/A	100 - 150	Fina y media	0	#N/A	#N/A	#N/A	#N/A
47S308	Magdalena	Zona Bananera	3	Monomodal o Bimodal	3 - 7	N/A	Moderadamente excesivo	N/A	0	N/A	100 - 150	Fina y media	0	#N/A	#N/A	#N/A	#N/A
47S309	Magdalena	Zona Bananera	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	0	N/A	100 - 150	Media	0	#N/A	#N/A	#N/A	#N/A
47S313	Magdalena	Santa Marta	3	Monomodal o Bimodal	1 - 3	Moderado	Excesivo	Ocasional	0	N/A	100 - 150	N/A	0	#N/A	#N/A	#N/A	#N/A
47S317	Magdalena	Santa Marta	3	Monomodal o Bimodal	1 - 3	Ligero	Bien drenado	N/A	0	N/A	100 - 150	Media	#N/A	#N/A	#N/A	#N/A	#N/A
47S322	Magdalena	Algarrobo	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	0	N/A	50 - 75	N/A	0	#N/A	#N/A	#N/A	#N/A
A-130	Magdalena	Fundaci—n	9	Monomodal o Bimodal	25 - 50	Moderado	Bien drenado	N/A	N/A	N/A	>150	Fina	Media	0	0	0	39
A-187	Antioquia	N/A	9	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Fina	Baja	0	0	0	4,8
A-192	Antioquia	Ciudad Bol’var	9	Monomodal o Bimodal	1 - 3	N/A	Pobre	Ocasional	N/A	N/A	<25	N/A	Baja	0	0	0	1,97
A-438	Antioquia	San Roque	9	Monomodal o Bimodal	1 - 3 	N/A	Pobre	N/A	N/A	N/A	25 - 50	Media	Muy baja	0	0	8,06	3,8
CE-006	Cesar	El Copey	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	N/A	N/A	25 - 50	Fina	Media	0	0	0	153
CE-025/001-PC-011	Cesar	Valledupar	15	Bimodal	25 - 50	Severo	Bien drenado	N/A	0	N/A	75 - 100	Gruesa	#N/A	#N/A	#N/A	#N/A	#N/A
CE-027	Cesar	Pueblo Bello	10	Bimodal	1 - 3	N/A	Bien drenado	N/A	0	N/A	25 - 50	Media y gruesa	Baja	0	0	0	8,7
CE-080	Cesar	Valledupar	3	Monomodal o Bimodal	1 - 3	N/A	Excesivo	N/A	0	3 - 15	100 - 150	Muy fina y fina	Baja	0	0	0	10,7
CE-095/SN-014	Cesar	Valledupar	15	Bimodal	>75	Moderado	Bien drenado	N/A	0	N/A	100 - 150	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
E-298	Magdalena	CiŽnaga	10	Bimodal	>75	Moderado	Bien drenado	N/A	N/A	N/A	<25	N/A	Muy baja	0	0	0	11
G-001	Magdalena	Tenerife	3	Monomodal o Bimodal	12 - 25	N/A	Bien drenado	N/A	N/A	N/A	75 - 100	Fina	Alta	0	0	0	92
M-124	Magdalena	Tenerife	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	N/A	100 - 150	Media y gruesa	Media	1,6	0	0	0
MG-014	Magdalena	Fundaci—n	3	Monomodal o Bimodal	7 - 12	N/A	Bien drenado	N/A	N/A	N/A	50 - 75	Muy fina y fina	Media	0	0	6,3	2,5
MG-016	Magdalena	Zona Bananera	3	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	N/A	N/A	25 - 50	Fina	Baja	0	0	0	4,4
MG-019	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente excesivo	N/A	N/A	N/A	<25	Fina	Baja	10	31,8	65	115
MG-024	Magdalena	Piji–o del Carmen	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Fina y media	Baja	0	0	0	1,6
MG-033	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	Rara	N/A	N/A	25 - 50	Gruesa	Media	0	0	30,5	7,8
MG-036	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Baja	0	0	0	N.D.
MG-039	Magdalena	Aracataca	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Media	0	0	0	243
MG-041	Magdalena	Piji–o del Carmen	3	Monomodal o Bimodal	3 - 7	N/A	Imperfecto	N/A	N/A	N/A	50 - 75	Fina	Baja	0	0	0	2
MG-042	Magdalena	Piji–o del Carmen	3	Monomodal o Bimodal	1 - 3	Ligero	Bien drenado	N/A	N/A	N/A	50 - 75	Fina	Baja	0	0	3,3	1,1
MG-050	Magdalena	Fundaci—n	3	Monomodal o Bimodal	7 - 12	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	N/A	Muy baja	0	0	0	N.D.
MG-058	Magdalena	Fundaci—n	3	Monomodal o Bimodal	7 - 12	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Media	0	0	0	2,5
MG-059	Magdalena	Aracataca	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	50 - 75	N/A	Muy baja	0	0	23,1	2
MG-066	Magdalena	Fundaci—n	3	Monomodal o Bimodal	50 - 75	Ligero	Bien drenado	N/A	3	15 - 50	75 - 100	Fina y media	Alta	0	0	1,6	2
MG-068	Magdalena	Santa Marta	4	Monomodal o Bimodal	N/A	N/A	Bien drenado	Ocasional	40	N/A	100 - 150	N/A	Media	0	0	0	20,6
MG-073	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	N/A	100 - 150	Fina y media	Alta	0	0	0	51
MG-076	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente excesivo	N/A	N/A	N/A	100 - 150	N/A	Muy baja	0	0	0	2
MG-077	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	Frecuente	N/A	N/A	<25	Media y gruesa	Alta	0	0	0,47	22,9
MG-078	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	N/A	Media	0	0	0	50,2
MG-079	Magdalena	Zona Bananera	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	35	N/A	<25	N/A	Media	0	0	0	49,4
MG-080	Magdalena	Fundaci—n	4	Monomodal o Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	3 - 15	75 - 100	Fina y media	Media	0	0	0	68,2
MG-081	Magdalena	Fundaci—n	9	Monomodal o Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	3 - 15	<25	Fina y media	Muy baja	0	0	0	33,4
MG-082	Magdalena	CiŽnaga	9	Monomodal o Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Fina y media	Muy baja	0	0	86,9	0,76
MG-085	Magdalena	Santa Marta	4	Monomodal o Bimodal	50 - 75	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Fina y media	Muy baja	0	0	0	0
MG-086	Magdalena	Santa Marta	4	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	29	N/A	25 - 50	Media	Media	0	0	0	10,9
MG-091	Magdalena	Santa Marta	3	Monomodal o Bimodal	12 - 25	Moderado	Bien drenado	N/A	N/A	15 - 50	<25	Fina y media	Muy baja	0	0	0	10,9
P-014	Magdalena	CiŽnaga	9	Monomodal o Bimodal	25 - 50	Moderado	Bien drenado	N/A	N/A	N/A	75 - 100	Muy fina	Muy baja	0	0	0	9
P-016	Magdalena	CiŽnaga	9	Monomodal o Bimodal	25 - 50	Moderado	Bien drenado	N/A	N/A	N/A	100 - 150	Fina	Baja	0	0	0	9
P-018	Magdalena	Santa Marta	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente excesivo	Frecuente	N/A	N/A	100 - 150	Fina y media	Muy baja	0	0	0	0
P-026	Magdalena	Santa Marta	3	Monomodal o Bimodal	50 - 75	Moderado	Bien drenado	N/A	25	N/A	25 - 50	Fina	Alta	0	0	0	131
P-035	Magdalena	Santa Marta	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	Rara	N/A	N/A	50 - 75	Fina	Muy baja	0	0	0	62
P-046	Magdalena	Zona bananera	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	<25	Fina y media	Media	24	68,2	0	428
P-047	Magdalena	CiŽnaga	3	Monomodal o Bimodal	0 - 1	N/A	Pobre	N/A	N/A	N/A	<25	N/A	Media	0	200	0	210
P-048	Magdalena	Zona bananera	3	Monomodal o Bimodal	0 - 1	N/A	Pobre	N/A	N/A	N/A	<25	N/A	Baja	0	95	0	53
P-050	Magdalena	CiŽnaga	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	N/A	N/A	N/A	<25	Media	Alta	0	47,4	0,61	39
P-052	Magdalena	CiŽnaga	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente bien drenado	N/A	N/A	N/A	<25	Media	Alta	0	14,4	0	15
PC-011	Cesar	Fundaci—n	14	Monomodal o Bimodal	50 - 75	Severo	Bien drenado	N/A	N/A	<0.1	100 - 150	Gruesa	Muy baja	0	0	0	0
PC-024A	Cesar	Valledupar	15	Bimodal	1 - 3	N/A	Imperfecto	N/A	0	N/A	50 - 75	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
PC-027C	Cesar	Valledupar	15	Bimodal	3 - 7	N/A	Bien drenado	N/A	0	N/A	100 - 150	Fina	Baja	0	0	33,3	3
PC-028	Magdalena	Aracataca	18	Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	N/A	<25	gruesa	Muy baja	0	0	63,8	3
PC-041	Cesar	Manaure Balc—n del Cesar	10	Bimodal	12 - 25	Ligero	Bien drenado	N/A	0	N/A	100 - 150	Fina	Muy baja	0	0	24,4	5
PC-092	Cesar	Bosconia	3	Monomodal o Bimodal	12 - 25	Moderado	Bien drenado	N/A	0	N/A	25 - 50	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
PERFIL-12	Magdalena	Remolino	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	N/A	N/A	N/A	<25	N/A	#N/A	#N/A	#N/A	#N/A	#N/A
PERFIL-14	Magdalena	Sitio Nuevo 	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	Frecuente	N/A	N/A	<25	N/A	#N/A	#N/A	#N/A	#N/A	#N/A
PERFIL-16	Magdalena	Sitio Nuevo 	3	Monomodal o Bimodal	1 - 3	N/A	Imperfecto	Frecuente	N/A	N/A	<25	No hay	#N/A	#N/A	#N/A	#N/A	#N/A
PM-007	Magdalena	Plato	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	Frecuente	N/A	<0.1	25 - 50	Fina	Alta	0	0	0	5
PM-028	Magdalena	Ariguan’	3	Monomodal o Bimodal	0 - 1	N/A	Pobre	Ocasional	0	N/A	<25	Fina y media	Alta	0	0	0	30
PM-040	Magdalena	Ariguan’ (El Dif’cil)	3	Monomodal o Bimodal	0 - 1	N/A	Moderadamente bien drenado	Frecuente	N/A	<0.1	50 - 75	Fina	Media	0	0	0	69
SCE-002	Cesar	El Copey	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	0	N/A	100 - 150	Fina y media	Media	0	0	0	40,4
SCE-005	Cesar	El Copey	3	Monomodal o Bimodal	7 - 12	N/A	Bien drenado	N/A	0	N/A	100 - 150	Fina y media	Baja	0	0	3,9	0,88
SCE-012	Cesar	El Copey	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	0	<0.1	100 - 150	Fina y media	Baja	0	0	0	28,7
